latitude,longitude,radius_m,label
35.5951,-82.5515,45000,Asheville
35.2271,-80.8431,45000,Charlotte
36.0999,-80.2442,45000,Winston-Salem
36.0726,-79.7920,45000,Greensboro
35.7796,-78.6382,45000,Raleigh
35.9132,-79.0558,45000,Chapel Hill
35.0527,-78.8784,45000,Fayetteville
34.2257,-77.9447,45000,Wilmington
35.5586,-75.4665,45000,Outer Banks
36.0679,-76.6077,45000,Edenton
