latitude,longitude,radius_m,label
34.8526,-82.3940,45000,Greenville
34.9496,-81.9320,45000,Spartanburg
34.0007,-81.0348,45000,Columbia
32.7765,-79.9311,45000,Charleston
33.6891,-78.8867,45000,Myrtle Beach
34.1954,-79.7626,45000,Florence
33.9204,-80.3415,45000,Sumter
34.5034,-82.6501,45000,Anderson
34.9249,-81.0251,45000,Rock Hill
32.4316,-80.6698,45000,Beaufort
32.2163,-80.7526,45000,Hilton Head Island
34.2671,-79.6870,45000,Dillon
