place_id,name,latitude,longitude,categories,address_line1,address_line2,city,state,postcode,country,formatted_address,website,phone,distance_meters
5137f28af1abc257c059e2ed5a470b903d40f00103f9015c6743140100000092032b43656c6c756c61722053616c65732d20566572697a6f6e20417574686f72697a65642052657461696c6572,Cellular Sales- Verizon Authorized Retailer,29.5626721,-95.0417446,"commercial, commercial.elektronics",Cellular Sales- Verizon Authorized Retailer,"3150 East NASA Parkway, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Cellular Sales- Verizon Authorized Retailer, 3150 East NASA Parkway, Seabrook, TX 77586, United States of America",,,37417.0
51e6815d27bcc657c05974ad058f80813d40f00102f901ec6b9a220000000092030957616c677265656e73,Walgreens,29.5058679,-95.10523399478515,"building, building.commercial, commercial, commercial.chemist",Walgreens,"1088 West Main Street, League City, TX 77573, United States of America",League City,Texas,77573,United States,"Walgreens, 1088 West Main Street, League City, TX 77573, United States of America",https://www.walgreens.com/locator/walgreens-1088+w+main+st-league+city-tx-77573/id=6566,,37461.0
517291d673adc257c059e34555bd57903d40f00103f901116c431401000000920311426f736f6e65204175746f6d6f74697665,Bosone Automotive,29.5638388,-95.0418367,"commercial, service, service.vehicle, service.vehicle.repair, service.vehicle.repair.car",Bosone Automotive,"1940 Repsdorph Drive, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Bosone Automotive, 1940 Repsdorph Drive, Seabrook, TX 77586, United States of America",,,37523.0
51015e0b1fb6c257c05961158d1546903d40f00103f901106c43140100000092030c436f726e65722053746f7265,Corner Store,29.5635694,-95.0423658,"commercial, commercial.convenience",Corner Store,"3324 East NASA Parkway, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Corner Store, 3324 East NASA Parkway, Seabrook, TX 77586, United States of America",,,37533.0
51b2220fe9dcbf57c05969aa08a8cb973d40f00103f90101cf84de0000000092030c4d616173204e757273657279,Maas Nursery,29.5929513,-94.9978583,"commercial, commercial.garden",Maas Nursery,"5511 Todville Road, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Maas Nursery, 5511 Todville Road, Seabrook, TX 77586, United States of America",https://maasnursery.com/,,37711.0
51f9015999bac157c059137fa509db933d40f00103f90132cb270d0100000092030b5061776e20497420416c6c,Pawn It All,29.577561,-95.0270141,commercial,Pawn It All,"2910 Bayport Boulevard, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Pawn It All, 2910 Bayport Boulevard, Seabrook, TX 77586, United States of America",,,37851.0
515204824aa6c157c05933f3be513c943d40f00103f90142cb270d010000009203124465766f6e2053656c662053746f72616765,Devon Self Storage,29.5790454,-95.0257746,"commercial, rental, rental.storage",Devon Self Storage,"3018 Bayport Boulevard, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Devon Self Storage, 3018 Bayport Boulevard, Seabrook, TX 77586, United States of America",https://www.devonselfstorage.com/,,37914.0
518a54185b08c357c059b301565d87903d40f00103f9014f0de2340100000092031341706f6c6c6f2054697265202620576865656c,Apollo Tire & Wheel,29.5645655,-95.047385,"commercial, commercial.vehicle",Apollo Tire & Wheel,"East NASA Parkway, Seabrook, TX 77058, United States of America",Seabrook,Texas,77058,United States,"Apollo Tire & Wheel, East NASA Parkway, Seabrook, TX 77058, United States of America",,,37927.0
515b9b7c69c0c157c059e82990ef52943d40f00103f90139cb270d01000000920312426179204172656120426f64792053686f70,Bay Area Body Shop,29.5793905,-95.0273689,"commercial, service, service.vehicle, service.vehicle.repair, service.vehicle.repair.car",Bay Area Body Shop,"3110 Bayport Boulevard, Seabrook, TX 77586, United States of America",Seabrook,Texas,77586,United States,"Bay Area Body Shop, 3110 Bayport Boulevard, Seabrook, TX 77586, United States of America",,,38035.0
51660eb09969c757c059f8e977e926813d40f00102f901926b9a220000000092030d446973636f756e742054697265,Discount Tire,29.5045,-95.11582033341402,"building, building.commercial, commercial, commercial.vehicle",Discount Tire,"117 North Gulf Freeway, League City, TX 77573, United States of America",League City,Texas,77573,United States,"Discount Tire, 117 North Gulf Freeway, League City, TX 77573, United States of America",,,38200.0
